"X","name","essround","proddate","cntry","netusoft","netustm","trstprl","trstplc","trstprt","trstep","trstun","freehms","euftf","atchctr","atcherp","rlgdgr","rlgatnd","pray","vteurmmb","vteubcmb","ipcrtiv","imprich","ipeqopt","ipshabt","impsafe","ipfrule","ipudrst","ipmodst","ipgdtim","impfree","iphlppl","ipsuces","ipstrgv","ipadvnt","ipbhprp","iprspot","iplylfr","impenv","imptrad","impfun","T_EUandUN","T_DOMEST","T_PATRIOT","V_EXCITE","V_MATERIA","V_AUTONOM","V_RELIGION","V_GROUP","IT_FREQ","IT_TIME"
1827,"ESS9e03_1",9,"17.02.2021","BG",1,NA,1,1,1,1,1,NA,2,9,NA,4,6,6,NA,NA,NA,NA,4,3,1,2,1,2,5,2,2,3,2,5,2,2,1,2,2,5,1.33333333333333,1,5,2.5,4.5,6.1,3.375,5.21428571428571,NA,NA
1828,"ESS9e03_1",9,"17.02.2021","BG",1,NA,0,0,0,0,0,2,6,2,0,10,4,1,33,NA,5,4,2,3,3,3,2,2,3,2,2,3,2,5,2,3,2,2,2,5,1.5,0,1,3.16666666666667,4.16666666666667,4.85714285714286,6.625,5.21428571428571,NA,NA
1829,"ESS9e03_1",9,"17.02.2021","BG",5,180,3,6,0,0,NA,2,NA,3,8,5,5,7,1,NA,5,5,3,3,4,6,5,5,4,2,3,3,NA,4,3,2,2,2,2,4,3.33333333333333,1.5,4.5,3.5,3.83333333333333,3.85714285714286,3.625,4.33333333333333,10.5,180
1830,"ESS9e03_1",9,"17.02.2021","BG",1,NA,5,7,7,NA,NA,3,4,7,6,5,7,5,55,NA,5,6,3,5,1,1,3,1,6,6,1,4,1,6,2,6,1,1,1,1,5,6,7,3.16666666666667,2.5,4.57142857142857,3.875,5.35714285714286,NA,NA
1831,"ESS9e03_1",9,"17.02.2021","BG",5,360,3,4,3,6,NA,3,5,7,6,5,7,7,1,NA,5,4,4,4,4,NA,5,5,3,3,4,4,4,4,5,4,4,4,3,3,4.75,3,5.5,4.16666666666667,3.5,3.28571428571429,2.875,3.33333333333333,10.5,360
1832,"ESS9e03_1",9,"17.02.2021","BG",2,NA,2,2,2,2,2,NA,9,8,8,2,7,7,1,NA,5,3,5,5,2,2,3,3,4,3,4,3,2,5,4,3,2,3,2,5,4.6,2,5,2.83333333333333,3.83333333333333,4.5,2.375,4.21428571428571,6,NA
1833,"ESS9e03_1",9,"17.02.2021","BG",1,NA,0,0,0,0,0,NA,NA,10,9,NA,NA,NA,1,NA,2,1,1,1,NA,3,3,2,5,5,5,NA,1,NA,2,NA,2,NA,1,6,2.75,0,5,2,6.5,4.7,6.5,5.1,NA,NA
1834,"ESS9e03_1",9,"17.02.2021","BG",5,180,1,4,0,1,1,3,0,10,2,8,2,1,1,NA,4,6,1,1,1,1,1,1,6,1,1,1,1,6,1,1,1,1,1,6,1.2,0.5,7,1.5,4.83333333333333,5.71428571428572,6.875,6.5,10.5,180
1835,"ESS9e03_1",9,"17.02.2021","BG",5,270,1,2,0,0,0,4,0,10,3,1,6,6,1,NA,1,1,3,1,NA,5,4,5,2,2,3,2,3,3,4,2,2,3,3,2,1,0.5,6,5.16666666666667,6.16666666666667,4.41666666666667,2.375,4.21428571428571,10.5,270
1836,"ESS9e03_1",9,"17.02.2021","BG",1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,3,NA,NA,NA
