"","netusoft","netustm","trstprl","trstplc","trstprt","trstep","trstun","freehms","euftf","atchctr","atcherp","rlgdgr","rlgatnd","pray","vteurmmb","vteubcmb","ipcrtiv","imprich","ipeqopt","ipshabt","impsafe","ipfrule","ipudrst","ipmodst","ipgdtim","impfree","iphlppl","ipsuces","ipstrgv","ipadvnt","ipbhprp","iprspot","iplylfr","impenv","imptrad","impfun"
"146",5,90,6,7,7,7,7,1,4,5,4,0,7,7,1,NA,4,4,2,2,3,4,3,2,2,3,3,3,4,3,4,3,2,2,4,3
"147",5,540,7,6,5,7,8,2,5,2,2,6,7,7,1,NA,2,4,4,1,4,4,4,2,4,1,2,1,4,1,2,2,1,2,2,1
"148",5,240,8,8,5,7,6,1,9,7,8,8,7,2,1,NA,1,4,2,5,5,6,1,5,2,1,2,2,5,2,3,4,2,2,6,2
"149",1,NA,5,10,5,5,5,1,2,8,8,10,7,1,1,NA,6,4,3,5,1,5,3,2,4,1,1,6,2,6,2,5,1,1,2,5
"150",5,120,5,8,2,8,8,1,10,5,10,5,5,4,1,NA,2,6,1,2,1,2,2,3,1,2,2,6,2,6,2,6,1,2,1,2
"151",5,180,0,7,2,0,NA,1,0,8,0,5,7,7,2,NA,2,4,1,3,5,2,2,2,2,2,2,5,2,4,2,5,1,2,3,2
"152",5,240,4,7,4,5,6,1,5,8,7,5,7,7,1,NA,1,3,2,3,1,5,1,3,1,1,2,3,2,2,1,1,1,1,4,2
"153",5,300,6,7,4,6,6,1,7,3,4,2,7,7,1,NA,4,4,2,2,3,2,2,4,3,2,2,2,3,4,2,4,2,4,5,2
"154",1,NA,3,8,5,7,5,2,8,6,7,0,7,7,1,NA,2,3,NA,2,1,4,3,1,2,3,1,3,2,5,2,2,2,2,2,2
"155",5,210,4,6,4,7,NA,2,6,3,8,1,7,7,1,NA,2,4,2,3,3,3,2,2,1,2,2,3,2,3,3,3,1,2,4,2
"156",5,120,6,8,6,6,6,1,6,6,5,1,7,7,1,NA,2,3,2,2,4,5,2,2,2,1,2,3,3,2,2,3,1,2,3,2
"157",5,600,6,7,5,6,6,1,5,8,6,0,7,7,1,NA,2,4,3,4,3,3,3,3,3,3,3,4,3,4,3,4,2,3,4,2
"158",5,60,6,7,6,6,6,1,7,8,4,7,6,4,1,NA,3,6,3,3,5,2,3,1,5,3,2,6,3,5,2,2,2,2,2,2
"159",5,210,8,7,6,8,9,2,6,7,5,0,7,7,1,NA,3,2,2,3,3,4,4,2,1,1,3,3,2,2,4,3,3,3,3,2
"160",1,NA,4,5,1,1,1,1,5,7,3,10,5,4,1,NA,2,4,1,5,3,3,3,2,4,4,3,3,2,5,1,3,2,1,2,4
"161",5,600,5,4,5,6,6,2,5,7,5,7,7,7,1,NA,3,4,2,2,3,4,2,2,2,2,3,4,2,4,4,4,3,2,5,4
"162",2,NA,1,3,0,0,0,3,0,9,3,7,6,6,1,NA,2,6,3,5,2,2,2,2,2,2,2,4,2,5,2,5,2,2,2,2
"163",5,630,5,6,1,2,3,3,5,5,7,5,3,1,1,NA,2,5,1,4,2,4,2,2,3,3,3,2,2,6,2,3,3,2,2,2
"164",5,60,6,7,5,8,8,2,8,8,8,7,7,7,1,NA,3,5,1,3,4,3,2,2,3,1,2,3,4,2,2,4,1,1,3,1
"165",5,240,7,9,6,7,6,1,7,3,1,0,7,7,1,NA,4,4,3,2,5,6,3,2,2,1,3,2,4,2,5,4,1,5,2,1
"166",3,NA,3,7,1,1,6,1,3,8,3,4,7,6,2,NA,4,4,3,3,1,1,3,2,5,4,3,5,2,6,2,4,3,3,2,5
"167",5,150,3,5,3,5,5,1,6,4,4,2,7,7,1,NA,1,3,3,1,2,3,2,2,2,3,2,2,3,1,2,2,1,2,2,2
